Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link
x,16-Sep-17,x,x,3.1,19.55,6.3,x,x,x,,x,,,http://www.mapmyrun.com/workout/2467538360
x,6-Oct-17,x,x,3.11,1198,6.416666667,x,x,x,,x,,,http://www.mapmyrun.com/workout/2508593210
x,14-Oct-17,x,x,3.09,1197,6.466666667,x,x,x,,x,,,http://www.mapmyrun.com/workout/2522643863
"Feb. 19, 2017","Feb. 19, 2017",Run,857,7.49395,4845,10.772,0,5.56997,0,,13462,,,http://www.mapmyrun.com/workout/2019308708
"Feb. 19, 2017","Feb. 19, 2017",Run,15,0.128674,171,22.1673,0,2.70669,0,,424,,,http://www.mapmyrun.com/workout/2019308501
"Feb. 19, 2017","Feb. 19, 2017",Run,25,0.257695,171,11.038,0,5.43576,0,,446,,,http://www.mapmyrun.com/workout/2019308480
"Feb. 19, 2017","Feb. 17, 2017",Run,459,4.42009,2218,8.35589,0,7.18057,0,,6279,,,http://www.mapmyrun.com/workout/2019308489
"Feb. 16, 2017","Feb. 16, 2017",Run,421,3.7147,2156,9.68318,0,6.19631,0,,6324,,,http://www.mapmyrun.com/workout/2013436040
"Feb. 16, 2017","Feb. 14, 2017",Run,491,4.39227,2522,9.57943,0,6.26342,0,,7300,,,http://www.mapmyrun.com/workout/2013435944
"Feb. 16, 2017","Feb. 11, 2017",Run,930,8.20333,5209,10.6017,0,5.65945,0,,14976,,,http://www.mapmyrun.com/workout/2013435851
"Feb. 16, 2017","Feb. 10, 2017",Run,457,4.40123,2140,8.10344,0,7.40426,0,,6209,,,http://www.mapmyrun.com/workout/2013435539
"Feb. 16, 2017","Jan. 30, 2017",Run,470,4.35056,2376,9.09234,0,6.59896,0,,7057,,,http://www.mapmyrun.com/workout/2013435425
"Jan. 27, 2017","Jan. 27, 2017",Winter Sport / Activity,1037,10.78,12085,18.6843,0,3.21125,0,,14112,,,http://www.mapmyrun.com/workout/1976819075
"Jan. 27, 2017","Jan. 27, 2017",Run,158,1.51641,1331,14.657,0,4.09359,0,,1798,,,http://www.mapmyrun.com/workout/1976819000
"Jan. 25, 2017","Jan. 25, 2017",Run,374,3.44711,1754,8.4881,0,7.06872,0,,5517,,,http://www.mapmyrun.com/workout/1973760743
"Jan. 25, 2017","Jan. 24, 2017",Run,458,4.40832,2012,7.59841,0,7.89639,0,,6156,,,http://www.mapmyrun.com/workout/1973760701
"Jan. 25, 2017","Jan. 22, 2017",Run,878,8.05452,4100,8.4881,0,7.06872,0,,11757,,,http://www.mapmyrun.com/workout/1973760671
"Jan. 19, 2017","Jan. 19, 2017",Run,324,2.99849,1424,7.91221,0,7.58321,0,,4486,,,http://www.mapmyrun.com/workout/1962381854
"Jan. 19, 2017","Jan. 18, 2017",Run,319,3.1278,1370,7.30856,0,8.20956,0,,4217,,,http://www.mapmyrun.com/workout/1962381779
